Entry, Tail, Size, Date,Resolution,Height,Width,Depth
EMD-4578,emd_4578_half_map_2.map.gz,102827253,2020-03-12,2.9,320.0,320.0,320.0
EMD-4584,emd_4584_half_map_1.map.gz,81469304,2020-11-18,20.4,280.0,280.0,280.0
EMD-4584,emd_4584_half_map_2.map.gz,81471745,2020-11-18,20.4,280.0,280.0,280.0
EMD-4587,emd_4587_half_map_1.map.gz,41263216,2019-02-25,3.8,240.0,240.0,240.0
EMD-4587,emd_4587_half_map_2.map.gz,41264657,2019-02-25,3.8,240.0,240.0,240.0
EMD-4588,emd_4588_half_map_1.map.gz,31634782,2019-02-25,3.6,220.0,220.0,220.0
EMD-4588,emd_4588_half_map_2.map.gz,31637213,2019-02-25,3.6,220.0,220.0,220.0
EMD-4589,emd_4589_half_map_1.map.gz,41500806,2019-02-25,3.7,240.0,240.0,240.0
EMD-4589,emd_4589_half_map_2.map.gz,41484726,2019-02-25,3.7,240.0,240.0,240.0
EMD-4592,emd_4592_half_map_1.map.gz,41638069,2019-03-11,3.6,240.0,240.0,240.0
EMD-4592,emd_4592_half_map_2.map.gz,41692547,2019-03-11,3.6,240.0,240.0,240.0
EMD-4593,emd_4593_half_map_1.map.gz,41574312,2019-03-11,3.7,240.0,240.0,240.0
EMD-4593,emd_4593_half_map_2.map.gz,41567719,2019-03-11,3.7,240.0,240.0,240.0
EMD-4594,emd_4594_half_map_1.map.gz,41570270,2019-03-11,3.6,240.0,240.0,240.0
EMD-4594,emd_4594_half_map_2.map.gz,41657604,2019-03-11,3.6,240.0,240.0,240.0
EMD-4595,emd_4595_half_map_1.map.gz,100395464,2019-12-15,3.28,320.0,320.0,320.0
EMD-4595,emd_4595_half_map_2.map.gz,100411267,2019-12-15,3.28,320.0,320.0,320.0
EMD-4596,emd_4596_half_map_1.map.gz,3280179,2020-02-04,9.64,104.0,104.0,104.0
EMD-4596,emd_4596_half_map_2.map.gz,3281956,2020-02-04,9.64,104.0,104.0,104.0
EMD-4597,emd_4597_half_map_1.map.gz,103098529,2020-02-04,8.75,320.0,320.0,320.0
EMD-4597,emd_4597_half_map_2.map.gz,102974442,2020-02-04,8.75,320.0,320.0,320.0
EMD-4605,emd_4605_half_map_1.map.gz,12433688,2020-11-18,5.0,160.0,160.0,160.0
EMD-4605,emd_4605_half_map_2.map.gz,12432078,2020-11-18,5.0,160.0,160.0,160.0
EMD-4610,emd_4610_half_map_1.map.gz,174390319,2019-12-11,3.4,384.0,384.0,384.0
EMD-4610,emd_4610_half_map_2.map.gz,174613786,2019-12-11,3.4,384.0,384.0,384.0
EMD-4611,emd_4611_half_map_1.map.gz,31622045,2019-02-25,3.2,220.0,220.0,220.0
EMD-4611,emd_4611_half_map_2.map.gz,31624547,2019-02-25,3.2,220.0,220.0,220.0
EMD-4612,emd_4612_half_map_1.map.gz,31769365,2019-03-12,3.6,220.0,220.0,220.0
EMD-4612,emd_4612_half_map_2.map.gz,31765236,2019-03-12,3.6,220.0,220.0,220.0
EMD-4613,emd_4613_half_map_1.map.gz,50469801,2019-02-25,3.5,256.0,256.0,256.0
EMD-4613,emd_4613_half_map_2.map.gz,50483906,2019-02-25,3.5,256.0,256.0,256.0
EMD-4614,emd_4614_half_map_1.map.gz,31620572,2019-03-11,3.3,220.0,220.0,220.0
EMD-4614,emd_4614_half_map_2.map.gz,31651898,2019-03-11,3.3,220.0,220.0,220.0
EMD-4615,emd_4615_half_map_1.map.gz,1438115,2020-11-18,13.5,80.0,80.0,80.0
EMD-4615,emd_4615_half_map_2.map.gz,1437819,2020-11-18,13.5,80.0,80.0,80.0
EMD-4621,emd_4621_half_map_1.map.gz,74679009,2019-06-22,4.2,288.0,288.0,288.0
EMD-4621,emd_4621_half_map_2.map.gz,74713577,2019-06-22,4.2,288.0,288.0,288.0
